spend_date,race_id,race_name,candidate_name,support_oppose,amount,payee_name,purpose,pdf_url
2026-09-10,2026-H-MI-07,MI-07 (2026),Tom Barrett,support,5875.08,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179068
2026-09-10,2026-H-MI-04,MI-04 (2026),Sean McCann,oppose,5448.63,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179067
2026-09-10,2026-H-MI-04,MI-04 (2026),Bill Huizenga,support,5448.63,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179067
2026-09-10,2026-H-MI-08,MI-08 (2026),Kristen McDonald Rivet,oppose,5849.35,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179066
2026-09-10,2026-H-MI-08,MI-08 (2026),Tom Smith,support,5849.35,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179066
2026-09-10,2026-H-MI-07,MI-07 (2026),William Lawrence,oppose,1350.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179065
2026-09-10,2026-H-MI-07,MI-07 (2026),Tom Barrett,support,1350.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179065
2026-09-10,2026-H-MI-10,MI-10 (2026),Christina Hines,oppose,1435.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179064
2026-09-10,2026-H-MI-10,MI-10 (2026),Michael Bouchard,support,1435.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179064
2026-09-10,2026-H-MI-04,MI-04 (2026),Sean McCann,oppose,1350.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179063
2026-09-10,2026-H-MI-04,MI-04 (2026),Bill Huizenga,support,1350.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179063
2026-09-10,2026-H-MI-08,MI-08 (2026),Kristen McDonald Rivet,oppose,1350.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179062
2026-09-10,2026-H-MI-08,MI-08 (2026),Tom Smith,support,1350.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179062
2026-09-10,2026-S-NH,NH Senate (2026),Chris Pappas,oppose,82176.00,RED MAVERICK MEDIA LLC,PRINTING,https://docquery.fec.gov/cgi-bin/fecimg/?202609029904082307
2026-09-10,2026-S-ME,ME Senate (2026),Troy Jackson,oppose,102847.00,RED MAVERICK MEDIA LLC,PRINTING,https://docquery.fec.gov/cgi-bin/fecimg/?202609029904082307
2026-09-09,2026-H-AZ-06,AZ-06 (2026),Juan Ciscomani,support,40122.50,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190235
2026-09-09,2026-H-AZ-01,AZ-01 (2026),Jay Feely,support,39795.25,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190235
2026-09-09,2026-H-CA-22,CA-22 (2026),David G. Valadao,support,20241.10,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190234
2026-09-09,2026-H-WI-03,WI-03 (2026),Derrick Van Orden,support,39414.10,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190233
2026-09-09,2026-H-CO-08,CO-08 (2026),Gabe Evans,support,21320.20,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190232
2026-09-09,2026-H-FL-25,FL-25 (2026),Jared Moskowitz,oppose,19364.95,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190232
2026-09-09,2026-H-FL-25,FL-25 (2026),Scott Singer,support,19364.95,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190231
2026-09-09,2026-S-IA,IA Senate (2026),Josh Turek,oppose,39828.00,THE BAKER GROUP LLC,PRINTING/POSTAGE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179076
2026-09-08,2026-H-NH-02,NH-02 (2026),Lily Tang Williams,support,8016.23,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190230
2026-09-08,2026-S-NH,NH Senate (2026),Chris Pappas,oppose,8016.23,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190230
2026-09-08,2026-S-NH,NH Senate (2026),John Sununu,support,8016.24,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190229
2026-09-08,2026-H-NH-01,NH-01 (2026),Anthony DiLorenzo,support,8401.68,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190229
2026-09-08,2026-S-NH,NH Senate (2026),Chris Pappas,oppose,8401.68,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190228
2026-09-08,2026-S-NH,NH Senate (2026),John Sununu,support,8401.69,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190228
2026-09-08,2026-S-ME,ME Senate (2026),Troy Jackson,oppose,18750.00,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190241
2026-09-08,2026-S-ME,ME Senate (2026),Susan M. Collins,support,18750.00,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190240
2026-09-08,2026-S-NH,NH Senate (2026),Chris Pappas,oppose,40000.00,IMGE LLC,DIGITAL MEDIA,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190240
2026-09-08,2026-H-TX-35,TX-35 (2026),Carlos De La Cruz,support,7175.78,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179061
2026-09-08,2026-S-TX,TX Senate (2026),James Talarico,oppose,7175.78,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179061
2026-09-08,2026-S-TX,TX Senate (2026),Ken Paxton,support,7175.79,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179060
2026-09-08,2026-H-TX-34,TX-34 (2026),Eric Flores,support,5458.48,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179060
2026-09-08,2026-S-TX,TX Senate (2026),James Talarico,oppose,5458.48,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179059
2026-09-08,2026-S-TX,TX Senate (2026),Ken Paxton,support,5458.49,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179059
2026-09-08,2026-H-TX-28,TX-28 (2026),Tano Tijerina,support,7679.53,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179058
2026-09-08,2026-S-TX,TX Senate (2026),James Talarico,oppose,7679.53,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179058
2026-09-08,2026-S-TX,TX Senate (2026),Ken Paxton,support,7679.54,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179057
2026-09-08,2026-H-TX-23,TX-23 (2026),Brandon Herrera,support,9130.12,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179057
2026-09-08,2026-S-TX,TX Senate (2026),James Talarico,oppose,9130.11,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179056
2026-09-08,2026-S-TX,TX Senate (2026),Ken Paxton,support,9130.12,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179056
2026-09-08,2026-H-TX-15,TX-15 (2026),Monica De La Cruz,support,5910.88,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179055
2026-09-08,2026-S-TX,TX Senate (2026),James Talarico,oppose,5910.88,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179055
2026-09-08,2026-S-TX,TX Senate (2026),Ken Paxton,support,5910.89,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179054
2026-09-08,2026-S-TX,TX Senate (2026),James Talarico,oppose,352337.70,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179054
2026-09-08,2026-S-TX,TX Senate (2026),Ken Paxton,support,352337.70,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179053
2026-09-08,2026-H-OH-13,OH-13 (2026),Carey Coleman,support,10920.97,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179053
2026-09-08,2026-S-OH,OH Senate (2026),Jon Husted,support,10920.98,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179052
2026-09-08,2026-H-OH-09,OH-09 (2026),Derek Merrin,support,11174.80,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179052
2026-09-08,2026-S-OH,OH Senate (2026),Jon Husted,support,11174.80,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179051
2026-09-08,2026-H-OH-07,OH-07 (2026),Max L. Miller,support,12546.30,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179051
2026-09-08,2026-S-OH,OH Senate (2026),Jon Husted,support,12546.30,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179050
2026-09-08,2026-H-OH-05,OH-05 (2026),Robert E. Latta,support,11479.32,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179050
2026-09-08,2026-S-OH,OH Senate (2026),Jon Husted,support,11479.33,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179049
2026-09-08,2026-H-OH-01,OH-01 (2026),Eric Conroy,support,12480.97,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179049
2026-09-08,2026-S-OH,OH Senate (2026),Jon Husted,support,12480.98,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179048
2026-09-08,2026-S-OH,OH Senate (2026),Sherrod Brown,oppose,132669.30,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179048
2026-09-08,2026-S-OH,OH Senate (2026),Jon Husted,support,132669.30,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179047
2026-09-08,2026-H-MI-10,MI-10 (2026),Michael Bouchard,support,6712.55,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179047
